#Index,X position (mm), Y position (mm), Length (um),Orientation #(deg), Area (Arbitrary)
437,-0.43295,-0.46315,7.0982,81.867,479
438,-0.4359,-0.4188,6.3574,-86.846,169
439,-0.4682,-0.5129,5.1936,76.043,227
440,-0.4729,-0.49925,13.092,41.893,1807
441,-0.46905,-0.53585,3.4327,-36.555,79
442,-0.12585,-0.55535,8.5526,-80.671,582
443,-0.1303,-0.5198,3.8841,-27.241,84
444,-0.1664,-0.52065,3.0599,32,73
445,-0.1661,-0.4268,5.9541,86.581,157
446,-0.1762,-0.44975,4.794,78.026,122
447,-0.18385,-0.5129,4.5333,86.892,99
448,-0.1904,-0.51905,9.4776,78.133,756
449,-0.1952,-0.52375,4.1028,9.8108,96
450,-0.19945,-0.43395,5.6435,-83.775,103
451,-0.20275,-0.49155,9.1244,78.997,233
452,-0.225,-0.54115,9.3874,86.01,958
453,-0.23295,-0.4655,6.4853,79.007,223
454,-0.25915,-0.55875,4.5739,11.399,71
455,-0.332,-0.47615,6.8906,89.477,296
456,0.08485,-0.48455,5.2963,-38.006,321
457,0.07155,-0.4513,4.4313,-83.883,74
458,0.05825,-0.5209,4.1446,21.576,112
459,0.04335,-0.4552,5.8902,75.943,97
460,0.0242,-0.47865,5.439,82.649,131
461,0.01775,-0.51665,6.1293,78.228,384
462,-0.01145,-0.50015,5.1786,89.63,121
463,-0.01805,-0.46525,6.5514,85.725,240
464,-0.0475,-0.4383,9.8357,85.165,802
465,-0.07545,-0.5579,5.3841,0.79064,93
466,-0.08235,-0.5571,4.7798,7.195,101
467,-0.08825,-0.52125,3.545,72.341,102
468,-0.0925,-0.56245,4.0429,-42.886,74
469,-0.1186,-0.5681,13.719,30.612,1742
470,0.3543,-0.41225,5.8546,-60.206,309
471,0.3409,-0.5171,4.4376,-6.8993,138
472,0.3372,-0.46755,3.5362,60.031,72
473,0.325,-0.51455,4.8217,1.824,83
474,0.30745,-0.43055,4.5774,-88.108,79
475,0.2602,-0.41495,7.2519,83.325,443
476,0.24115,-0.4662,10.446,-82.757,965
477,0.21505,-0.52815,5.437,-4.1695,318
478,0.21805,-0.42385,4.8262,-59.818,83
479,0.168,-0.5274,5.4253,-14.5,294
480,0.16685,-0.5622,5.8619,4.1491,87
481,0.5982,-0.4234,4.6579,76.808,92
482,0.59765,-0.4521,4.391,-85.759,98
483,0.58625,-0.4106,8.1862,36.578,287
484,0.5848,-0.42335,3.7423,-9.0352,71
485,0.56395,-0.40785,3.7786,-57.563,104
486,0.5536,-0.54425,5.1495,-1.7619,212
487,0.55325,-0.469,5.8595,86.62,74
488,0.51085,-0.48995,6.0613,77.764,337
489,0.4707,-0.4081,6.602,-70.855,137
490,0.45855,-0.4152,5.7797,-64.712,128
491,0.4275,-0.4327,6.9248,-51.664,201
492,0.41215,-0.49675,3.7607,-44.28,75
493,0.3673,-0.5598,3.8006,-46.467,102
494,0.7732,-0.44415,5.4899,83.324,188
495,0.74275,-0.45085,5.5718,-84.445,92
496,0.6439,-0.51885,7.1419,-89.103,536
497,0.6475,-0.39765,4.9041,-27.419,104
498,0.634,-0.4061,13.668,3.4878,843
499,0.6339,-0.46955,6.6149,-83.918,362
500,0.8281,-0.32685,5.4525,-15.432,316
501,0.8273,-0.2485,4.8074,-58.08,116
502,0.81445,-0.3017,4.3053,76.96,122
503,0.81275,-0.27245,4.6094,-81.866,85
504,0.80805,-0.2577,5.0028,4.2514,85
505,0.75815,-0.271,6.6329,77.955,277
506,0.73705,-0.315,5.6558,80.076,165
507,0.65805,-0.33685,8.2508,-86.771,599
508,0.6587,-0.24325,7.6789,-50.016,231
509,0.6547,-0.38685,10.524,-53.563,262
510,0.6563,-0.24055,4.1268,-48.967,83
511,0.6508,-0.3884,14.855,-60.566,236
512,0.6454,-0.39975,5.9309,30.691,317
513,0.6274,-0.3603,7.0784,-81.854,565
514,0.62025,-0.38635,5.6636,-5.1235,341
515,0.8319,-0.0971,6.131,-30.559,71
516,0.8308,-0.08215,3.1923,80.82,84
517,0.82755,-0.0871,7.5505,-83.955,123
518,0.8143,-0.19,5.6555,-16.165,300
519,0.81165,-0.1337,6.6841,-49.549,168
520,0.7992,-0.1901,4.8781,83.178,220
521,0.76045,-0.1719,5.1318,72.389,215
522,0.74105,-0.13585,7.3614,86.187,474
523,0.72885,-0.22825,5.9096,-2.2526,369
524,0.7335,-0.0899,5.9668,45.385,75
525,0.7256,-0.17055,5.4644,-88.067,325
526,0.7151,-0.1846,5.1202,77.904,108
527,0.71445,-0.12445,6.7939,85.887,266
528,0.6765,-0.10995,6.6355,-58.054,193
529,0.65105,-0.1549,5.995,-44.095,164
530,0.64795,-0.1339,7.2511,86.25,425
531,0.6366,-0.23115,5.7088,-0.34516,210
532,0.8335,0.0146,6.0221,-21.749,302
533,0.83265,0.0447,3.1754,-22.811,75
534,0.8314,0.0585,6.0404,89.702,165
535,0.7902,0.0836,5.4374,8.4844,124
536,0.7653,0.00095,6.9237,79.533,463
537,0.7453,0.0065,6.6689,81.916,440
538,0.7345,0.00625,5.3619,77.332,215
